<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.05.18	00:00:00	110.743	110.919	110.691	110.880	12599	0	1
2018.05.18	04:00:00	110.880	111.004	110.879	110.920	7321	0	1
2018.05.18	08:00:00	110.920	111.018	110.806	110.949	11588	0	1
2018.05.18	12:00:00	110.949	111.079	110.899	110.950	13111	0	1
2018.05.18	16:00:00	110.950	111.003	110.609	110.619	19160	0	1
2018.05.18	20:00:00	110.619	110.777	110.613	110.759	5552	0	1
2018.05.21	00:00:00	110.864	111.067	110.820	111.028	8061	0	1
2018.05.21	04:00:00	111.028	111.245	110.947	111.238	10708	0	1
2018.05.21	08:00:00	111.238	111.395	111.215	111.304	11868	0	1
2018.05.21	12:00:00	111.305	111.361	111.236	111.255	7818	0	1
2018.05.21	16:00:00	111.255	111.260	111.013	111.019	12373	0	1
2018.05.21	20:00:00	111.019	111.144	110.952	111.037	5640	0	1
2018.05.22	00:00:00	111.008	111.071	110.873	110.963	8991	0	1
2018.05.22	04:00:00	110.963	111.006	110.839	110.938	7114	0	1
2018.05.22	08:00:00	110.938	111.183	110.892	110.992	16280	0	1
2018.05.22	12:00:00	110.992	111.026	110.795	110.910	12153	0	1
2018.05.22	16:00:00	110.910	111.078	110.854	110.940	14171	0	1
2018.05.22	20:00:00	110.940	111.023	110.857	110.893	6234	0	1
2018.05.23	00:00:00	110.893	110.917	110.721	110.852	9774	0	1
2018.05.23	04:00:00	110.852	110.852	110.376	110.491	19063	0	1
2018.05.23	08:00:00	110.491	110.523	109.776	109.863	26155	0	1
2018.05.23	12:00:00	109.863	109.979	109.556	109.905	21896	0	1
2018.05.23	16:00:00	109.904	110.254	109.889	110.252	25388	0	1
2018.05.23	20:00:00	110.252	110.329	110.004	110.069	16803	0	1
2018.05.24	00:00:00	110.047	110.082	109.653	109.666	14332	0	1
2018.05.24	04:00:00	109.666	109.707	109.380	109.480	15045	0	1
2018.05.24	08:00:00	109.480	109.752	109.328	109.706	21901	0	1
2018.05.24	12:00:00	109.706	109.764	109.511	109.638	12512	0	1
2018.05.24	16:00:00	109.638	109.638	108.952	109.327	30682	0	1
2018.05.24	20:00:00	109.327	109.373	109.227	109.241	7941	0	1
2018.05.25	00:00:00	109.241	109.546	109.050	109.521	12087	0	1
2018.05.25	04:00:00	109.521	109.743	109.512	109.538	11663	0	1
2018.05.25	08:00:00	109.538	109.589	109.328	109.535	14800	0	1
2018.05.25	12:00:00	109.536	109.594	109.295	109.350	17298	0	1
2018.05.25	16:00:00	109.351	109.429	109.122	109.429	20403	0	1
2018.05.25	20:00:00	109.430	109.570	109.366	109.382	7209	0	1
2018.05.28	00:00:00	109.727	109.831	109.462	109.477	13761	0	1
2018.05.28	04:00:00	109.477	109.522	109.312	109.405	11389	0	1
2018.05.28	08:00:00	109.405	109.611	109.382	109.388	14031	0	1
2018.05.28	12:00:00	109.388	109.473	109.230	109.348	15443	0	1
2018.05.28	16:00:00	109.348	109.436	109.248	109.417	8991	0	1
2018.05.28	20:00:00	109.417	109.434	109.314	109.404	10711	0	1
2018.05.29	00:00:00	109.399	109.466	109.135	109.205	10968	0	1
2018.05.29	04:00:00	109.205	109.238	108.914	109.077	15031	0	1
2018.05.29	08:00:00	109.078	109.123	108.424	108.602	37849	0	1
2018.05.29	12:00:00	108.601	109.007	108.543	108.939	35418	0	1
2018.05.29	16:00:00	108.939	109.107	108.528	108.765	32745	0	1
2018.05.29	20:00:00	108.764	108.784	108.111	108.753	26345	0	1
2018.05.30	00:00:00	108.753	108.780	108.350	108.487	24400	0	1
2018.05.30	04:00:00	108.487	108.779	108.431	108.637	17193	0	1
2018.05.30	08:00:00	108.637	108.884	108.468	108.653	30924	0	1
2018.05.30	12:00:00	108.653	108.977	108.571	108.834	27645	0	1
2018.05.30	16:00:00	108.836	109.072	108.809	108.911	25399	0	1
2018.05.30	20:00:00	108.911	108.966	108.825	108.903	7444	0	1
2018.05.31	00:00:00	108.903	108.906	108.535	108.716	14415	0	1
2018.05.31	04:00:00	108.715	108.805	108.539	108.707	10289	0	1
2018.05.31	08:00:00	108.707	108.942	108.567	108.942	22423	0	1
2018.05.31	12:00:00	108.942	109.003	108.754	108.817	16040	0	1
2018.05.31	16:00:00	108.817	108.835	108.384	108.735	37656	0	1
2018.05.31	20:00:00	108.735	108.876	108.614	108.802	12347	0	1
2018.06.01	00:00:00	108.802	108.935	108.720	108.863	9319	0	1
2018.06.01	04:00:00	108.863	109.240	108.730	109.104	16597	0	1
2018.06.01	08:00:00	109.106	109.234	109.032	109.209	15835	0	1
2018.06.01	12:00:00	109.209	109.694	109.157	109.685	18769	0	1
2018.06.01	16:00:00	109.684	109.734	109.426	109.490	23329	0	1
2018.06.01	20:00:00	109.490	109.582	109.420	109.529	6220	0	1
2018.06.04	00:00:00	109.420	109.763	109.410	109.725	10505	0	1
2018.06.04	04:00:00	109.725	109.731	109.554	109.622	8501	0	1
2018.06.04	08:00:00	109.622	109.724	109.457	109.531	13338	0	1
2018.06.04	12:00:00	109.531	109.640	109.369	109.510	10223	0	1
2018.06.04	16:00:00	109.510	109.744	109.460	109.688	12621	0	1
2018.06.04	20:00:00	109.688	109.851	109.652	109.812	4942	0	1
2018.06.05	00:00:00	109.807	109.991	109.768	109.883	9553	0	1
2018.06.05	04:00:00	109.883	109.985	109.771	109.950	10570	0	1
2018.06.05	08:00:00	109.950	110.002	109.728	109.746	13274	0	1
2018.06.05	12:00:00	109.746	109.816	109.651	109.673	10378	0	1
2018.06.05	16:00:00	109.674	109.901	109.471	109.572	17175	0	1
2018.06.05	20:00:00	109.572	109.815	109.558	109.773	5623	0	1
2018.06.06	00:00:00	109.769	109.940	109.769	109.824	9484	0	1
