<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.09	23:00:00	2.00381	2.00408	2.00223	2.00223	1458	0	35
2026.01.12	00:00:00	2.00370	2.00500	2.00236	2.00250	1026	0	129
2026.01.12	01:00:00	2.00245	2.00351	2.00203	2.00312	2390	0	12
2026.01.12	02:00:00	2.00314	2.00476	2.00278	2.00416	4144	0	10
2026.01.12	03:00:00	2.00419	2.00519	2.00320	2.00449	4216	0	10
2026.01.12	04:00:00	2.00447	2.00519	2.00426	2.00474	3706	0	10
2026.01.12	05:00:00	2.00474	2.00499	2.00352	2.00352	3069	0	10
2026.01.12	06:00:00	2.00354	2.00480	2.00317	2.00474	2641	0	11
2026.01.12	07:00:00	2.00469	2.00621	2.00430	2.00529	3205	0	10
2026.01.12	08:00:00	2.00528	2.00618	2.00465	2.00580	3119	0	10
2026.01.12	09:00:00	2.00580	2.00592	2.00376	2.00500	3612	0	10
2026.01.12	10:00:00	2.00501	2.00736	2.00410	2.00707	3916	0	10
2026.01.12	11:00:00	2.00707	2.00757	2.00534	2.00593	3570	0	10
2026.01.12	12:00:00	2.00594	2.00732	2.00556	2.00698	3161	0	10
2026.01.12	13:00:00	2.00703	2.00790	2.00602	2.00699	3450	0	10
2026.01.12	14:00:00	2.00699	2.00868	2.00648	2.00678	3641	0	10
2026.01.12	15:00:00	2.00678	2.00809	2.00611	2.00744	4053	0	10
2026.01.12	16:00:00	2.00745	2.00905	2.00720	2.00788	4347	0	10
2026.01.12	17:00:00	2.00793	2.00830	2.00506	2.00519	4065	0	10
2026.01.12	18:00:00	2.00520	2.00558	2.00340	2.00497	3712	0	10
2026.01.12	19:00:00	2.00496	2.00582	2.00404	2.00534	3643	0	10
2026.01.12	20:00:00	2.00534	2.00553	2.00457	2.00524	2726	0	10
2026.01.12	21:00:00	2.00524	2.00560	2.00498	2.00550	2867	0	10
2026.01.12	22:00:00	2.00549	2.00593	2.00505	2.00530	2429	0	10
2026.01.12	23:00:00	2.00527	2.00702	2.00354	2.00361	1799	0	30
2026.01.13	00:00:00	2.00365	2.00736	2.00272	2.00627	1839	0	33
2026.01.13	01:00:00	2.00629	2.00750	2.00569	2.00733	2154	0	15
2026.01.13	02:00:00	2.00732	2.00814	2.00669	2.00805	2962	0	10
2026.01.13	03:00:00	2.00806	2.00821	2.00623	2.00707	3850	0	10
2026.01.13	04:00:00	2.00708	2.00770	2.00609	2.00740	3522	0	10
2026.01.13	05:00:00	2.00740	2.00846	2.00700	2.00738	3060	0	10
2026.01.13	06:00:00	2.00739	2.00832	2.00719	2.00770	2730	0	12
2026.01.13	07:00:00	2.00771	2.00878	2.00754	2.00780	3167	0	10
2026.01.13	08:00:00	2.00777	2.00873	2.00696	2.00840	3455	0	10
2026.01.13	09:00:00	2.00839	2.00903	2.00767	2.00853	3342	0	10
2026.01.13	10:00:00	2.00853	2.01088	2.00803	2.01066	3449	0	10
2026.01.13	11:00:00	2.01062	2.01095	2.00975	2.01016	3352	0	10
2026.01.13	12:00:00	2.01016	2.01128	2.01016	2.01092	2863	0	10
2026.01.13	13:00:00	2.01092	2.01117	2.00899	2.00946	2580	0	10
2026.01.13	14:00:00	2.00947	2.00992	2.00870	2.00910	2968	0	10
2026.01.13	15:00:00	2.00909	2.00940	2.00477	2.00835	4513	0	10
2026.01.13	16:00:00	2.00837	2.00935	2.00602	2.00917	4600	0	10
2026.01.13	17:00:00	2.00911	2.01276	2.00879	2.01007	4912	0	10
2026.01.13	18:00:00	2.01007	2.01224	2.00986	2.01007	4154	0	10
2026.01.13	19:00:00	2.01009	2.01081	2.00919	2.01059	3986	0	10
2026.01.13	20:00:00	2.01060	2.01115	2.00962	2.01095	3721	0	10
2026.01.13	21:00:00	2.01098	2.01098	2.00988	2.01065	3696	0	10
2026.01.13	22:00:00	2.01063	2.01079	2.00943	2.00959	3545	0	11
2026.01.13	23:00:00	2.00959	2.00982	2.00685	2.00685	2153	0	30
2026.01.14	00:00:00	2.00679	2.00871	2.00403	2.00659	1504	0	28
2026.01.14	01:00:00	2.00658	2.00894	2.00658	2.00894	1997	0	17
2026.01.14	02:00:00	2.00894	2.00978	2.00814	2.00968	2866	0	11
2026.01.14	03:00:00	2.00969	2.00990	2.00839	2.00857	3505	0	10
2026.01.14	04:00:00	2.00857	2.00886	2.00703	2.00737	3526	0	10
2026.01.14	05:00:00	2.00739	2.00777	2.00673	2.00684	3196	0	10
2026.01.14	06:00:00	2.00684	2.00738	2.00648	2.00685	2423	0	13
2026.01.14	07:00:00	2.00687	2.00731	2.00611	2.00676	3238	0	13
2026.01.14	08:00:00	2.00675	2.00739	2.00587	2.00678	3480	0	10
2026.01.14	09:00:00	2.00669	2.00755	2.00629	2.00737	3288	0	10
2026.01.14	10:00:00	2.00736	2.00981	2.00715	2.00909	3927	0	10
2026.01.14	11:00:00	2.00906	2.01029	2.00820	2.00960	3472	0	10
2026.01.14	12:00:00	2.00962	2.01300	2.00928	2.01240	3673	0	10
2026.01.14	13:00:00	2.01243	2.01329	2.01217	2.01267	3282	0	10
2026.01.14	14:00:00	2.01270	2.01327	2.01174	2.01234	3519	0	10
2026.01.14	15:00:00	2.01234	2.01362	2.01137	2.01280	4067	0	10
2026.01.14	16:00:00	2.01277	2.01432	2.01195	2.01318	4655	0	10
2026.01.14	17:00:00	2.01317	2.01438	2.01122	2.01334	4946	0	10
2026.01.14	18:00:00	2.01335	2.01362	2.01062	2.01309	4098	0	10
2026.01.14	19:00:00	2.01308	2.01318	2.01152	2.01244	4159	0	10
2026.01.14	20:00:00	2.01245	2.01251	2.01032	2.01033	4075	0	10
2026.01.14	21:00:00	2.01038	2.01074	2.00978	2.01063	3697	0	10
2026.01.14	22:00:00	2.01062	2.01111	2.00931	2.00934	3779	0	10
2026.01.14	23:00:00	2.00926	2.01179	2.00859	2.00878	2526	0	31
2026.01.15	00:00:00	2.00885	2.01159	2.00755	2.01083	1829	0	38
2026.01.15	01:00:00	2.01085	2.01278	2.00890	2.01124	2697	0	10
2026.01.15	02:00:00	2.01124	2.01150	2.00915	2.00994	3027	0	10
2026.01.15	03:00:00	2.00995	2.01163	2.00968	2.01100	4134	0	10
